      5000 	 Random List 	 WHILE LOOP 	      43000
      5000 	 Random List 	   FOR LOOP 	     102000
      5000 	 Random List 	   SET FUNC 	     384500
      5000 	 Unique List 	 WHILE LOOP 	      49000
      5000 	 Unique List 	   FOR LOOP 	     223000
      5000 	 Unique List 	   SET FUNC 	     565000
     10000 	 Random List 	 WHILE LOOP 	      60500
     10000 	 Random List 	   FOR LOOP 	     203000
     10000 	 Random List 	   SET FUNC 	     911000
     10000 	 Unique List 	 WHILE LOOP 	      98000
     10000 	 Unique List 	   FOR LOOP 	     448500
     10000 	 Unique List 	   SET FUNC 	    1121000
     15000 	 Random List 	 WHILE LOOP 	     143500
     15000 	 Random List 	   FOR LOOP 	     303000
     15000 	 Random List 	   SET FUNC 	    1382000
     15000 	 Unique List 	 WHILE LOOP 	     147000
     15000 	 Unique List 	   FOR LOOP 	     673000
     15000 	 Unique List 	   SET FUNC 	    1658000
     20000 	 Random List 	 WHILE LOOP 	     170500
     20000 	 Random List 	   FOR LOOP 	     404000
     20000 	 Random List 	   SET FUNC 	    1921000
     20000 	 Unique List 	 WHILE LOOP 	     196000
     20000 	 Unique List 	   FOR LOOP 	     897000
     20000 	 Unique List 	   SET FUNC 	    2357500
     25000 	 Random List 	 WHILE LOOP 	     163500
     25000 	 Random List 	   FOR LOOP 	     505000
     25000 	 Random List 	   SET FUNC 	    2851500
     25000 	 Unique List 	 WHILE LOOP 	     245000
     25000 	 Unique List 	   FOR LOOP 	    1121000
     25000 	 Unique List 	   SET FUNC 	    2914500
     30000 	 Random List 	 WHILE LOOP 	     162000
     30000 	 Random List 	   FOR LOOP 	     609500
     30000 	 Random List 	   SET FUNC 	    3565000
     30000 	 Unique List 	 WHILE LOOP 	     293000
     30000 	 Unique List 	   FOR LOOP 	    1343500
     30000 	 Unique List 	   SET FUNC 	    3437500
     35000 	 Random List 	 WHILE LOOP 	     253500
     35000 	 Random List 	   FOR LOOP 	     715000
     35000 	 Random List 	   SET FUNC 	    4464000
     35000 	 Unique List 	 WHILE LOOP 	     342000
     35000 	 Unique List 	   FOR LOOP 	    1571000
     35000 	 Unique List 	   SET FUNC 	    4039500
     40000 	 Random List 	 WHILE LOOP 	     303000
     40000 	 Random List 	   FOR LOOP 	     815000
     40000 	 Random List 	   SET FUNC 	    5349000
     40000 	 Unique List 	 WHILE LOOP 	     393000
     40000 	 Unique List 	   FOR LOOP 	    1793500
     40000 	 Unique List 	   SET FUNC 	    4590500
     45000 	 Random List 	 WHILE LOOP 	     284000
     45000 	 Random List 	   FOR LOOP 	     911000
     45000 	 Random List 	   SET FUNC 	    6234000
     45000 	 Unique List 	 WHILE LOOP 	     440500
     45000 	 Unique List 	   FOR LOOP 	    2017000
     45000 	 Unique List 	   SET FUNC 	    5147500
     50000 	 Random List 	 WHILE LOOP 	     390000
     50000 	 Random List 	   FOR LOOP 	    1018000
     50000 	 Random List 	   SET FUNC 	    7235000
     50000 	 Unique List 	 WHILE LOOP 	     490000
     50000 	 Unique List 	   FOR LOOP 	    2241000
     50000 	 Unique List 	   SET FUNC 	    5696000
     55000 	 Random List 	 WHILE LOOP 	     361500
     55000 	 Random List 	   FOR LOOP 	    1110000
     55000 	 Random List 	   SET FUNC 	    8312500
     55000 	 Unique List 	 WHILE LOOP 	     539000
     55000 	 Unique List 	   FOR LOOP 	    2463000
     55000 	 Unique List 	   SET FUNC 	    6225000
     60000 	 Random List 	 WHILE LOOP 	     415000
     60000 	 Random List 	   FOR LOOP 	    1210000
     60000 	 Random List 	   SET FUNC 	    9406000
     60000 	 Unique List 	 WHILE LOOP 	     589000
     60000 	 Unique List 	   FOR LOOP 	    2684000
     60000 	 Unique List 	   SET FUNC 	    6752500
     65000 	 Random List 	 WHILE LOOP 	     385500
     65000 	 Random List 	   FOR LOOP 	    1309000
     65000 	 Random List 	   SET FUNC 	   10602000
     65000 	 Unique List 	 WHILE LOOP 	     636000
     65000 	 Unique List 	   FOR LOOP 	    2905000
     65000 	 Unique List 	   SET FUNC 	    7271000
     70000 	 Random List 	 WHILE LOOP 	     755000
     70000 	 Random List 	   FOR LOOP 	    1427500
     70000 	 Random List 	   SET FUNC 	   12473000
     70000 	 Unique List 	 WHILE LOOP 	     687000
     70000 	 Unique List 	   FOR LOOP 	    3136500
     70000 	 Unique List 	   SET FUNC 	    7964500
     75000 	 Random List 	 WHILE LOOP 	     470000
     75000 	 Random List 	   FOR LOOP 	    1516000
     75000 	 Random List 	   SET FUNC 	   14000500
     75000 	 Unique List 	 WHILE LOOP 	     736000
     75000 	 Unique List 	   FOR LOOP 	    3364500
     75000 	 Unique List 	   SET FUNC 	    8508000
     80000 	 Random List 	 WHILE LOOP 	     453500
     80000 	 Random List 	   FOR LOOP 	    1616000
     80000 	 Random List 	   SET FUNC 	   15519500
     80000 	 Unique List 	 WHILE LOOP 	     784000
     80000 	 Unique List 	   FOR LOOP 	    3583000
     80000 	 Unique List 	   SET FUNC 	    9813000
     85000 	 Random List 	 WHILE LOOP 	     635500
     85000 	 Random List 	   FOR LOOP 	    1718000
     85000 	 Random List 	   SET FUNC 	   17669000
     85000 	 Unique List 	 WHILE LOOP 	     833000
     85000 	 Unique List 	   FOR LOOP 	    3810000
     85000 	 Unique List 	   SET FUNC 	   10365500
     90000 	 Random List 	 WHILE LOOP 	     425500
     90000 	 Random List 	   FOR LOOP 	    1817000
     90000 	 Random List 	   SET FUNC 	   19315500
     90000 	 Unique List 	 WHILE LOOP 	     881000
     90000 	 Unique List 	   FOR LOOP 	    4034000
     90000 	 Unique List 	   SET FUNC 	   10951000
     95000 	 Random List 	 WHILE LOOP 	     573000
     95000 	 Random List 	   FOR LOOP 	    2081000
     95000 	 Random List 	   SET FUNC 	   23135500
     95000 	 Unique List 	 WHILE LOOP 	     934000
     95000 	 Unique List 	   FOR LOOP 	    4527000
     95000 	 Unique List 	   SET FUNC 	   12249000
    100000 	 Random List 	 WHILE LOOP 	     498500
    100000 	 Random List 	   FOR LOOP 	    2034000
    100000 	 Random List 	   SET FUNC 	   22333500
    100000 	 Unique List 	 WHILE LOOP 	     980000
    100000 	 Unique List 	   FOR LOOP 	    4481500
    100000 	 Unique List 	   SET FUNC 	   12202500